Date_reported,Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
1/3/2020,Egypt,0,0,0,0
1/4/2020,Egypt,0,0,0,0
1/5/2020,Egypt,0,0,0,0
1/6/2020,Egypt,0,0,0,0
1/7/2020,Egypt,0,0,0,0
1/8/2020,Egypt,0,0,0,0
1/9/2020,Egypt,0,0,0,0
1/10/2020,Egypt,0,0,0,0
1/11/2020,Egypt,0,0,0,0
1/12/2020,Egypt,0,0,0,0
1/13/2020,Egypt,0,0,0,0
1/14/2020,Egypt,0,0,0,0
1/15/2020,Egypt,0,0,0,0
1/16/2020,Egypt,0,0,0,0
1/17/2020,Egypt,0,0,0,0
1/18/2020,Egypt,0,0,0,0
1/19/2020,Egypt,0,0,0,0
1/20/2020,Egypt,0,0,0,0
1/21/2020,Egypt,0,0,0,0
1/22/2020,Egypt,0,0,0,0
1/23/2020,Egypt,0,0,0,0
1/24/2020,Egypt,0,0,0,0
1/25/2020,Egypt,0,0,0,0
1/26/2020,Egypt,0,0,0,0
1/27/2020,Egypt,0,0,0,0
1/28/2020,Egypt,0,0,0,0
1/29/2020,Egypt,0,0,0,0
1/30/2020,Egypt,0,0,0,0
1/31/2020,Egypt,0,0,0,0
2/1/2020,Egypt,0,0,0,0
2/2/2020,Egypt,0,0,0,0
2/3/2020,Egypt,0,0,0,0
2/4/2020,Egypt,0,0,0,0
2/5/2020,Egypt,0,0,0,0
2/6/2020,Egypt,0,0,0,0
2/7/2020,Egypt,0,0,0,0
2/8/2020,Egypt,0,0,0,0
2/9/2020,Egypt,0,0,0,0
2/10/2020,Egypt,0,0,0,0
2/11/2020,Egypt,0,0,0,0
2/12/2020,Egypt,0,0,0,0
2/13/2020,Egypt,0,0,0,0
2/14/2020,Egypt,5,5,0,0
2/15/2020,Egypt,0,5,0,0
2/16/2020,Egypt,0,5,0,0
2/17/2020,Egypt,0,5,0,0
2/18/2020,Egypt,0,5,0,0
2/19/2020,Egypt,0,5,0,0
2/20/2020,Egypt,0,5,0,0
2/21/2020,Egypt,0,5,0,0
2/22/2020,Egypt,0,5,0,0
2/23/2020,Egypt,0,5,0,0
2/24/2020,Egypt,0,5,0,0
2/25/2020,Egypt,0,5,0,0
2/26/2020,Egypt,0,5,0,0
2/27/2020,Egypt,0,5,0,0
2/28/2020,Egypt,0,5,0,0
2/29/2020,Egypt,0,5,0,0
3/1/2020,Egypt,0,5,0,0
3/2/2020,Egypt,1,6,0,0
3/3/2020,Egypt,0,6,0,0
3/4/2020,Egypt,0,6,0,0
3/5/2020,Egypt,1,7,0,0
3/6/2020,Egypt,0,7,0,0
3/7/2020,Egypt,12,19,0,0
3/8/2020,Egypt,34,53,1,1
3/9/2020,Egypt,6,59,0,1
3/10/2020,Egypt,4,63,0,1
3/11/2020,Egypt,8,71,0,1
3/12/2020,Egypt,0,71,0,1
3/13/2020,Egypt,0,71,0,1
3/14/2020,Egypt,26,97,1,2
3/15/2020,Egypt,17,114,0,2
3/16/2020,Egypt,16,130,0,2
3/17/2020,Egypt,40,170,2,4
3/18/2020,Egypt,30,200,2,6
3/19/2020,Egypt,14,214,0,6
3/20/2020,Egypt,42,256,1,7
3/21/2020,Egypt,29,285,1,8
3/22/2020,Egypt,9,294,2,10
3/23/2020,Egypt,33,327,4,14
3/24/2020,Egypt,39,366,5,19
3/25/2020,Egypt,36,402,1,20
3/26/2020,Egypt,54,456,1,21
3/27/2020,Egypt,39,495,3,24
3/28/2020,Egypt,41,536,6,30
3/29/2020,Egypt,40,576,6,36
3/30/2020,Egypt,33,609,4,40
3/31/2020,Egypt,47,656,1,41
4/1/2020,Egypt,54,710,5,46
4/2/2020,Egypt,69,779,6,52
4/3/2020,Egypt,86,865,6,58
4/4/2020,Egypt,120,985,8,66
4/5/2020,Egypt,85,1070,5,71
4/6/2020,Egypt,103,1173,7,78
4/7/2020,Egypt,149,1322,7,85
4/8/2020,Egypt,128,1450,9,94
4/9/2020,Egypt,110,1560,9,103
4/10/2020,Egypt,139,1699,15,118
4/11/2020,Egypt,95,1794,17,135
4/12/2020,Egypt,145,1939,11,146
4/13/2020,Egypt,126,2065,13,159
4/14/2020,Egypt,125,2190,5,164
4/15/2020,Egypt,160,2350,14,178
4/16/2020,Egypt,155,2505,5,183
4/17/2020,Egypt,168,2673,13,196
4/18/2020,Egypt,171,2844,9,205
4/19/2020,Egypt,188,3032,19,224
4/20/2020,Egypt,112,3144,15,239
4/21/2020,Egypt,189,3333,11,250
4/22/2020,Egypt,157,3490,14,264
4/23/2020,Egypt,169,3659,12,276
4/24/2020,Egypt,232,3891,11,287
4/25/2020,Egypt,201,4092,7,294
4/26/2020,Egypt,227,4319,13,307
4/27/2020,Egypt,215,4534,10,317
4/28/2020,Egypt,248,4782,20,337
4/29/2020,Egypt,260,5042,22,359
4/30/2020,Egypt,226,5268,21,380
5/1/2020,Egypt,269,5537,12,392
5/2/2020,Egypt,358,5895,14,406
5/3/2020,Egypt,298,6193,9,415
5/4/2020,Egypt,272,6465,14,429
5/5/2020,Egypt,348,6813,7,436
5/6/2020,Egypt,388,7201,16,452
5/7/2020,Egypt,387,7588,17,469
5/8/2020,Egypt,393,7981,13,482
5/9/2020,Egypt,495,8476,21,503
5/10/2020,Egypt,488,8964,11,514
5/11/2020,Egypt,436,9400,11,525
5/12/2020,Egypt,346,9746,8,533
5/13/2020,Egypt,347,10093,11,544
5/14/2020,Egypt,338,10431,12,556
5/15/2020,Egypt,398,10829,15,571
5/16/2020,Egypt,399,11228,21,592
5/17/2020,Egypt,491,11719,20,612
5/18/2020,Egypt,510,12229,18,630
5/19/2020,Egypt,535,12764,15,645
5/20/2020,Egypt,720,13484,14,659
5/21/2020,Egypt,745,14229,21,680
5/22/2020,Egypt,774,15003,16,696
5/23/2020,Egypt,783,15786,11,707
5/24/2020,Egypt,727,16513,28,735
5/25/2020,Egypt,752,17265,29,764
5/26/2020,Egypt,702,17967,19,783
5/27/2020,Egypt,789,18756,14,797
5/28/2020,Egypt,910,19666,19,816
5/29/2020,Egypt,1127,20793,29,845
5/30/2020,Egypt,1289,22082,34,879
5/31/2020,Egypt,1367,23449,34,913
6/1/2020,Egypt,1536,24985,46,959
6/2/2020,Egypt,1399,26384,46,1005
6/3/2020,Egypt,1152,27536,47,1052
6/4/2020,Egypt,1079,28615,36,1088
6/5/2020,Egypt,1152,29767,38,1126
6/6/2020,Egypt,1348,31115,40,1166
6/7/2020,Egypt,1497,32612,32,1198
6/8/2020,Egypt,1467,34079,39,1237
6/9/2020,Egypt,1365,35444,34,1271
6/10/2020,Egypt,1385,36829,35,1306
6/11/2020,Egypt,1455,38284,36,1342
6/12/2020,Egypt,1442,39726,35,1377
6/13/2020,Egypt,1577,41303,45,1422
6/14/2020,Egypt,1677,42980,62,1484
6/15/2020,Egypt,1618,44598,91,1575
6/16/2020,Egypt,1691,46289,97,1672
6/17/2020,Egypt,1567,47856,94,1766
6/18/2020,Egypt,1363,49219,84,1850
6/19/2020,Egypt,1218,50437,88,1938
6/20/2020,Egypt,1774,52211,79,2017
6/21/2020,Egypt,1547,53758,89,2106
6/22/2020,Egypt,1475,55233,87,2193
6/23/2020,Egypt,1576,56809,85,2278
6/24/2020,Egypt,1332,58141,87,2365
6/25/2020,Egypt,1420,59561,85,2450
6/26/2020,Egypt,1569,61130,83,2533
6/27/2020,Egypt,1625,62755,87,2620
6/28/2020,Egypt,1168,63923,88,2708
6/29/2020,Egypt,1265,65188,81,2789
6/30/2020,Egypt,1566,66754,83,2872
7/1/2020,Egypt,1557,68311,81,2953
7/2/2020,Egypt,1503,69814,81,3034
7/3/2020,Egypt,1485,71299,86,3120
7/4/2020,Egypt,1412,72711,81,3201
7/5/2020,Egypt,1324,74035,79,3280
7/6/2020,Egypt,1218,75253,63,3343
7/7/2020,Egypt,969,76222,79,3422
7/8/2020,Egypt,1057,77279,67,3489
7/9/2020,Egypt,1025,78304,75,3564
7/10/2020,Egypt,950,79254,53,3617
7/11/2020,Egypt,981,80235,85,3702
7/12/2020,Egypt,923,81158,67,3769
7/13/2020,Egypt,912,82070,89,3858
7/14/2020,Egypt,931,83001,77,3935
7/15/2020,Egypt,929,83930,73,4008
7/16/2020,Egypt,913,84843,59,4067
7/17/2020,Egypt,928,85771,53,4120
7/18/2020,Egypt,703,86474,68,4188
7/19/2020,Egypt,698,87172,63,4251
7/20/2020,Egypt,603,87775,51,4302
